Pleb_Rank,Channels_Rank,Capacity_Rank,alias/pubkey
2871,2486,1663,🕊️ born to be free 🕊️
2872,3374,5672,fuxmxlightningnode
2873,4596,2378,CID
2874,2577,2675,satsrulescom
2875,2367,4033,Noderunners.network
2876,2887,706,PaymentHub
2877,3307,4757,gkrizek
2878,2769,4479,llaangel
2879,3223,4147,WitchNectar.com
2880,3241,4224,Btcpowerforfreedom
2881,2419,6000,start9-0x70d99b90f0a369f9
2882,2814,5671,028059662c65626f3002
2883,2828,5948,aranguren.org
2884,3069,2946,newport
2885,2316,3214,euclid
2886,3684,2772,TheRealToDaMoon
2887,2355,3725,Helios⚡
2888,2744,4205,donate.sparrowwallet.com
2889,3322,4849,Lantech1
2890,3033,2564,MrH0DLr
2891,2837,6350,Petra
2892,3365,5605,Lucien
2893,2593,2925,02fe4875d77e9e4d2e1c
2894,2408,5081,Klendazu
2895,2376,4198,pardefritos
2896,2646,3276,FreeFlowLN
2897,3916,4157,notable-donor
2898,3224,4149,cryptovoices [nodl-cloud]
2899,2902,1298,0344170795ead7fb5216
2900,2606,3014,Giuseppe1492
2901,3171,3680,crptooln NL
2902,2897,1113,03b372d946b49a5949b3
2903,2804,5529,SiniGANG
2904,3324,4862,Feria
2905,2941,1761,btc_hardware
2906,3077,3018,0x32e
2907,2404,4990,"Mutton, Mead & Music"
2908,4188,5606,surfporn_lnd
2909,2892,943,VariableFate
2910,3349,5155,renoblitz
2911,3875,3990,CHONBURI_1
2912,3593,2072,0272e6f8da4a999b96ad
2913,2623,3105,21fix
2914,2485,1660,Bank of BOTNIK
2915,3173,3690,mucuchies-lacrypta
2916,3874,3989,LordBit
2917,3416,6932,[̲̅$̲̅(̲̅5̲̅)̲̅$̲̅]
2918,4019,4623,Robotechy
2919,2832,6112,lnd.ignios.net
2920,2940,1758,Firefly6602
2921,3075,2990,SOMBERSEAGULL
2922,2687,3632,0242cfe95d90fd73185e
2923,2994,2316,Lifeanon269
2924,2557,2461,start9-0xb1f65e07ffaf8fa6
2925,2998,2339,Daim
2926,3673,2641,033ba3c3df73c74ab717
2927,3199,3988,lightningAloha
2928,3734,3157,SteelRat
2929,1408,5663,0225a3f8e57be37f0e46
2930,2961,2043,fireflyfiesta
2931,3700,2998,anhingas
2932,2669,3447,Leggy
2933,3247,4230,Bank of International Satoshis
2934,1904,4784,Laika
2935,2649,3291,Flobstr
2936,3675,2655,03e5db79fb618ddad062
2937,2773,4504,WcityDwnTwn2
2938,3550,1619,02082cde3684a0692d97
2939,2857,7587,Covfefe
2940,2988,2269,WhyNot
2941,2960,2004,tunestr
2942,2830,6096,allaboutbitcoin.io
2943,3190,3824,Humanist Pianist ⚡🎹🌍⚡
2944,2410,5186,MrDawesSr
2945,2811,5595,Kenpachi
2946,3099,3236,PhoqueDeBussy
2947,3275,4446,Sekeda
2948,2568,2606,I Love Poker
2949,2899,1295,Node42
2950,2900,1296,Node63
2951,3335,5010,trustkiosk.ghana.com
2952,3346,5087,😎​nodeboltrunner
2953,1905,4827,Zion Bitcoin5
2954,2322,3285,CHILLYCHIPMUNK
2955,3341,5064,BaldoLightning
2956,2817,5729,02b110e5c40a6d374a04
2957,3243,4226,aliunde
2958,3288,4543,trial-balloon
2959,2332,3416,ANANSI
2960,3356,5518,start9-0x482b11120ec240d5
2961,1898,4217,HessNode
2962,3276,4447,PirateNode
2963,2365,3980,ThreadOfA
2964,2374,4138,guiand
2965,3958,4399,WeKo
2966,2597,2944,WiSp
2967,3330,4964,mynodebtc.com [myNode1]
2968,2636,3211,034a43fd81d5af4bc78a
2969,3630,2417,WorkingBoyNode
2970,3186,3774,CryptoCloaks
2971,4089,4890,BitcoinTechBoy
2972,3566,1846,Cloud9Solutions
2973,2953,1965,Kizashi
2974,3204,4030,02abb5e57ff442770d9d
2975,3938,4237,FreedomBitcoin
2976,4698,3124,mynodebtc.com [MyNode]
2977,2996,2328,024a15f2dcc57002b832
2978,2907,1342,Satsdays.Com
2979,3102,3254,Information-Rights-Project
2980,2188,1647,jaegernode
2981,2783,4612,BitSpender
2982,3084,3084,BlakeTCollin
2983,3020,2456,0370157b9945d94d585f
2984,2918,1464,💲Dolar🪓Killer
2985,2121,6041,OlavoDeCarvalho
2986,2650,3292,CHILLYRAGE
2987,3415,6352,03b416ab39b7e530a569
2988,3181,3748,logsonlogs
2989,3156,3605,uvPlatysatz
2990,2452,1012,bean-of-fire-ln
2991,3248,4231,ScotFree
2992,2144,1040,lincoin
2993,4100,4984,0331d01a1311f87190cb
2994,2937,1747,Hodlini_LND
2995,3227,4165,mynodebtc.com [myNode]
2996,2620,3091,Absolute Virtue
2997,3207,4042,Betelgeuse
2998,2958,2001,Lazy Thor
2999,2739,4146,039553592807ceb7c4c0
3000,3821,3555,AndersenNode
3001,3617,2276,Pay-in-Bitcoin
3002,3233,4180,ArgoviaNode
3003,2661,3390,Mutiny
3004,3885,4044,H48737
3005,3712,3046,top secret
3006,2826,5928,0398212beaa280eabc22
3007,3279,4477,WRONGSUCKER
3008,3992,4536,21Mcrypto
3009,3222,4134,TheBlackHole
3010,1721,7384,JP Digital
3011,2784,4746,027805c41bff1e80607d
3012,3915,4151,⚡️QuantumVacuum⚡️
3013,2910,1404,node1.walletano.com
3014,4053,4793,MaxiNode
3015,2968,2117,sats247-cln
3016,2838,6937,iwok
3017,3379,5849,Morak
3018,2629,3137,03f226134db28a4f5fcc
3019,2436,8668,Sten Swen
3020,3662,2595,Zion_Trinity
3021,3913,4144,lndnodetm2
3022,3198,3981,WMC nodl [LND]
3023,3357,5523,Ponyo
3024,1719,6240,TURGIDSON-PLEBNET
3025,2358,3761,BlitzKrieg
3026,3635,2438,pirated 🏴‍☠️nodl ConTa
3027,3141,3499,JackOfAllSats
3028,3850,3757,Crazy
3029,3323,4861,NICONZ
3030,3704,3024,benode
3031,2981,2189,028e3cbf7f251c8c5628
3032,4273,6111,thrasherbtc01
3033,3511,538,032f6da91c68ec88aae6
3034,2924,1567,03d982db3411528c4a95
3035,2898,1239,0334024afcf34dfa3c88
3036,2926,1640,REDFARM
3037,2716,3995,bitru
3038,2324,3311,-=[gw]=-
3039,3411,6289,028a78798b1757331a51
3040,3716,3066,BeLogic
3041,2825,5926,039fd8e97a505cbea201
3042,2525,2162,Escipion
3043,3319,4819,elonmusk
3044,2972,2148,LightningBridge
3045,1918,797,KapitalexPayEx
3046,3332,4979,CHILLYMONTANA
3047,3029,2499,TheTexasBitcoinProject
3048,4284,6164,Poradeci-Tirona-BH
3049,2911,1417,ThePotato 🥔
3050,2670,3457,⚡SwissLightning⚡
3051,2822,5881,C_rose
3052,2424,6241,Cosmic Justice
3053,3615,2274,gojinode
3054,3294,4568,02794511dbcc3a86e399
3055,2982,2197,jdp-lightning-node
3056,2938,1748,1.ln.offchain.cz
3057,1893,4048,ChadF33
3058,2713,3822,03ec641f59855937c3a6
3059,3160,3637,bitwonton
3060,3908,4123,zNodePi5
3061,3066,2921,Start9 Donations
3062,2760,4412,037dbf642e4a19bdfe60
3063,4122,5042,ln1.altangent.com
3064,2965,2080,BTC-Tahoe-LND1
3065,2675,3491,loveisbitcoin
3066,3645,2522,⚡💰-MINIRIG-💰⚡
3067,3648,2525,02940fd0de7a637888ba
3068,4120,5037,PoeticSurf
3069,2842,7092,privatesig
3070,2914,1434,sindicatobtc
3071,2947,1883,03db5f9da703c2a3f1a8
3072,3387,5883,GreenBit
3073,3305,4744,034dd74257c79464030c
3074,2321,3282,031017e6563c2ba50cf4
3075,2896,1100,02d38871e8be8431cfce
3076,2945,1872,panamakanal
3077,3058,2793,No Second Best
3078,3806,3503,Chameleon
3079,2551,2407,treefrog
3080,2990,2271,diyREBEL
3081,2906,1335,GrumpyMelon
3082,3804,3501,AdvNode
3083,2127,7359,Auge_Btc
3084,3870,3838,donaldfagen
3085,3880,4010,noxinode
3086,3524,1078,tp-node
3087,4226,5755,032fbac4
3088,4220,5736,023384837416b06a530b
3089,3796,3453,HubHub
3090,4106,5003,99red
3091,3111,3313,03971a0043dc66c6b092
3092,2388,4473,BTC Doctor
3093,4659,2817,2009ers.com
3094,3788,3423,Samsquanch
3095,2703,3762,DalmatiaNode
3096,3945,4244,0259a073c02393e9a8e5
3097,3201,4004,RACE | BR⚡️LN
3098,2709,3815,ConanTheLND
3099,2925,1605,Kerosene
3100,2936,1743,pi400
3101,2983,2223,remoteadmin.io
3102,3396,5961,02da4b1c78d9b1d5164e
3103,2587,2787,Bubu0702
3104,2123,6349,Hilac
3105,3395,5960,rocket
3106,2959,2003,Hanjuku_node
3107,3516,728,sideways
3108,3312,4800,HeyCitizen
3109,1567,8516,raspiblitz
3110,2726,4067,ln.cesc.trade
3111,2770,4490,LNDimNode
3112,4186,5579,jd_01
3113,3401,6048,gaitnode
3114,2708,3814,0259536c60a5efebce8d
3115,3403,6114,Istiecool
3116,2742,4177,tamemex
3117,3852,3764,03312fbd930e1902c3ed
3118,2950,1902,baffler
3119,2829,5983,LEMNISCAP
3120,2860,8350,RaiderAdam
3121,3646,2523,LIGHTNINGWAFFLE
3122,3237,4195,samsoniteSTART9
3123,3722,3101,027e444244b7bc9fc9cd
3124,4201,5675,03f84b4d4de050515ac5
3125,2600,2977,NOODLE9
3126,2731,4102,Credenso
3127,3187,3775,Paddle
3128,2547,2360,Alpha Centauri ⭐️
3129,3805,3502,Crypto_notte
3130,4087,4888,⚡️(((d(^_~)b)))⚡️
3131,2843,7111,Constellation
3132,3172,3689,Popeyes Ghost
3133,3437,7386,f3rn
3134,3884,4027,03151c3e5d350d14b4c9
3135,3030,2518,TAC
3136,2957,1989,03144385021e4add8c85
3137,2944,1837,03d5e14480d49d3bfe65
3138,2229,2084,LichtFlits
3139,3651,2537,Satoshi⚡DNC
3140,3378,5733,voltage-staging-mainnet
3141,3636,2439,FiatIsAShitcoin
3142,3032,2543,chainy
3143,3107,3272,🦑 Release the Kraken 🦑
3144,3582,1963,btcp-srl-voltage
3145,3407,6161,plebstafarian
3146,3174,3691,eniac
3147,3316,4809,Misfit Node CLN
3148,2609,3017,taeppsch
3149,3922,4176,lilblitz
3150,2888,842,rewards-prod
3151,2664,3402,Helpful Hamsters 🐹🐹
3152,3255,4373,nodl-s100
3153,3822,3556,LupinLND
3154,2085,3515,MMOshow
3155,3177,3718,ishi🥷
3156,2527,2167,LibertySociety
3157,2933,1728,pay.lnrouter.app
3158,2916,1449,SCZ_001
3159,4209,5683,jade
3160,2854,7457,Hodelnoodel
3161,3352,5179,Leetning.com #1 UK
3162,3520,1006,Tutterfrut
3163,3281,4495,BLUEWHISPER
3164,2949,1885,Laughing Bandit
3165,3702,3022,⚡zapped.capital⚡
3166,3743,3206,Dr Blaster
3167,3435,7338,AmorPsyche
3168,2634,3204,SwiftSasquatch
3169,3471,8705,022ef4edc541a3730cce
3170,3398,6014,666Imback
3171,3926,4196,CypherHive.com
3172,2294,2952,shtyrlitz
3173,1900,4380,rrbtc
3174,3001,2362,Tortuga-node
3175,2995,2327,[LN]
3176,2915,1448,sh
3177,3812,3546,⚡speedysats ⚡
3178,3577,1912,[Taiwan]Ravencrow
3179,3864,3832,Fallingstars
3180,3728,3132,TOBG-LNBig
3181,3298,4580,SHANGO
3182,3027,2490,Shroom🍄
3183,3000,2361,Thommytomate
3184,2839,6970,Take3
3185,2126,7324,test-node-saynode
3186,2873,9706,02574d4de238aaf6f382
3187,3892,4063,OSCAR
3188,3007,2391,Freedomofspeech_S
3189,2908,1376,BestNode2023
3190,2353,3685,026cbaf4179f0d57e410
3191,3060,2795,Citadel Automation
3192,3825,3559,02bdae9d5061c959db3a
3193,3382,5861,asdfmx
3194,3519,961,cyber bank
3195,2852,7373,02a31c10107b56a6f74c
3196,3726,3130,HAPPYCHIPMUNK
3197,2714,3823,DeFi Investor
3198,3278,4472,myLoox [LND]
3199,2117,5621,SEDEblockchain
3200,3886,4045,rustrelay
3201,2850,7332,CASA_DINERO_AMA
3202,3696,2956,picnic-join-us-here
3203,2821,5863,$UWU
3204,2987,2266,Mogwai
3205,2678,3528,0375df6a5a4bbcdf17ab
3206,2630,3149,Doc Lightning
3207,4055,4797,030fbbf4eb13c18f956e
3208,3024,2473,TAGCASH.COM
3209,3512,550,coinsnap
3210,2917,1454,WarpDrive
3211,3629,2393,Bitcoin-Victoria-Falls
3212,3802,3476,encryptedenergy
3213,3770,3364,CypherHive
3214,2666,3434,ViennaCalling
3215,2531,2195,NPS
3216,2991,2272,03f16a0b756e796b1013
3217,4231,5854,StackMFSats
3218,2905,1315,022a90739762a43d7acb
3219,2851,7371,cameloid
3220,4907,4252,022ab2e58925034d5ecc
3221,3902,4083,03d9dd7d70829542f0eb
3222,2977,2163,stramash
3223,4196,5650,Astor
3224,3264,4413,Podnews
3225,3067,2929,achow101
3226,2868,9255,Transilvania
3227,3446,7561,EtonMess
3228,4107,5005,Rising_phoenix
3229,2867,8943,Cartlink-lightning
3230,2438,9929,021aa6f0fdc8ea3c85b9
3231,3451,8223,ZeusOfJoy
3232,2772,4496,02faa26b31c3069b584d
3233,3757,3271,edenia
3234,3871,3839,020d9dbe01e681ff60cc
3235,3683,2728,TheBlackBox
3236,3783,3409,Thunderstruck⚡
3237,3200,4003,02441a7167038db73467
3238,3076,3000,lnau.net
3239,2928,1664,Bushi
3240,2872,9392,KECSystems.com
3241,2999,2349,036cffc30e246aacb314
3242,2335,3450,02cc40fe49b394bec5a1
3243,3088,3153,jjblitz
3244,2125,7115,Kobold777
3245,3951,4357,Thorn602
3246,3085,3090,Houqua
3247,3019,2451,Lupus
3248,4119,5034,03af9907
3249,2934,1738,WesternBTC
3250,2823,5882,sebastianmu123
3251,2992,2307,fehu-01
3252,3050,2682,0239eceff7d4554e04fa
3253,4168,5218,LNDBI
3254,3659,2581,LightningVend
3255,4162,5212,sovereign.styloshi
3256,4007,4583,PaddyWagon
3257,2735,4120,03d8ef4620be554d8990
3258,3421,7064,0376dd4ed455b0b2cef2
3259,3377,5714,FCKMONSYS
3260,3313,4801,0286c1c541ec142c10f3
3261,2849,7330,LottiBull
3262,2963,2055,btcwizard
3263,3269,4437,025ed5a35a7b0a7590ed
3264,3095,3195,03033bbeab9a35c8a116
3265,3950,4354,Beerkules
3266,3838,3669,GNode
3267,3052,2693,speakapp
3268,3412,6315,Bitcoin Manor
3269,3347,5103,JohnH
3270,3026,2482,SHUNT-615
3271,2979,2180,crom
3272,4076,4875,LBbtcpay
3273,3429,7254,ThyrusNode01
3274,2272,2541,LNCOFFEE
3275,2118,5670,DeBitcoinShow
3276,3410,6263,0368b3ead0eae99a6655
3277,4252,5963,MountainBitcoin
3278,2777,4524,Red Wheelbarrow
3279,3768,3332,k
3280,3100,3237,pepinillo
3281,3676,2656,Maxjuwil [LND]
3282,3641,2475,Bitcoin-Sranan
3283,4234,5884,0309506f
3284,4285,6165,I❤BTC
3285,3011,2411,RexcomGG
3286,4028,4632,Sixapalooza
3287,3828,3606,Last_Bastion
3288,3708,3028,Bittanker
3289,3062,2797,NodezOut4Harambe
3290,2746,4219,tantundem
3291,2859,8331,cyberian_node
3292,3517,816,0320e754312dfaf6deca
3293,3894,4075,03e10f118c4ca821a46d
3294,3601,2165,Stygian
3295,4097,4981,CPTINN3M0
3296,2932,1708,TruthMachine
3297,3547,1537,Barcelona - SantaSu
3298,3333,4980,thanat0s
3299,3552,1646,䷯
3300,2689,3646,wolkenblitz
3301,4103,4998,nodoCamuno2
3302,2989,2270,Vinte e Um
3303,4328,7088,DunderMifflin
3304,2430,7193,Bitrequest
3305,3530,1171,zenode
3306,3877,4001,Thorn601
3307,3970,4451,03efd5f53c66b3038ac8
3308,3977,4493,Blitzerz
3309,3116,3318,APPLELIGHTNINGNODE
3310,3041,2609,BTCPortal [1]
3311,3093,3186,Munra
3312,3090,3155,RockTheLightning
3313,3197,3978,start9-0x37c02c91acc583ea
3314,2671,3478,citadel is coming
3315,3336,5038,038f5b2058e1435f24a6
3316,3113,3315,fmar
3317,3555,1710,hopey
3318,3003,2367,lightning2.narayana.im
3319,2951,1955,PEEVEDDEITY
3320,3175,3692,LATENTSOURCE
3321,3543,1494,SIG SAUER
3322,3535,1373,NakamotosBasilisk
3323,3031,2519,025b6da8056206c338a5
3324,3631,2421,Jabberwonky
3325,3008,2392,lightning.international
3326,3677,2665,Victoria
3327,3115,3317,TROFIMUS1
3328,3837,3666,03ea3d158b2866667459
3329,4148,5122,030963dd7331eb704033
3330,3964,4421,TravelMap
3331,2853,7385,CyberTuz
3332,2834,6160,03f768d0251f3a2f2cf6
3333,4253,5964,030cea2ab2e8fb757551
3334,2412,5596,02995308453cd512e69d
3335,3354,5208,BoltBridge
3336,3532,1243,Jenna
3337,2801,5177,Kallie_tt_Moon
3338,3925,4192,WHENBTC
3339,4174,5526,0300f2d65a057e7afd2f
3340,3755,3269,Hyperdope
3341,3866,3834,Kemomimi❤
3342,4086,4887,PaperstreetSoapLND
3343,3120,3322,Ghoost
3344,4108,5006,Phoenix138
3345,4700,3135,02fbca8a81b8bfb17f48
3346,3681,2697,node203.fra.mempool.space
3347,3439,7453,internet-portal-lnd-alias
3348,3558,1751,03f4ee45cefe431435fe
3349,3581,1936,Celery Man
3350,4058,4811,BGBFT1
3351,3334,4992,031e201ac7f43092a541
3352,3690,2805,[HUB]ODROID_H2-LINUX-LND
3353,3989,4530,RmC
3354,2787,4814,rakkis
3355,3420,7055,Anchor
3356,2654,3304,satstackingpleb
3357,2668,3437,gigetto
3358,3777,3383,GodIsDead
3359,2970,2125,mynodebtc.com [myNode]
3360,3391,5930,0306cb5ebe9de37c63ca
3361,3564,1813,03b67a820ce826e56778
3362,4060,4816,nodl [1of42]
3363,4159,5209,🔥 SatsOnFire 🔥
3364,3980,4505,Pilatus
3365,3083,3083,makionaire
3366,3579,1923,WoodpeckerShed
3367,4607,2470,CZ_flesh
3368,2719,4009,von-node
3369,3933,4214,jesterhodl
3370,4217,5731,03b7f0cd872cec07d48b
3371,3785,3420,my-lightning-node7
3372,3546,1536,GHOST
3373,3707,3027,036b23e3
3374,3337,5048,SnekNest
3375,4331,7104,02d9e55ff1efd2aecd54
3376,3560,1786,030e0078ed41e4920bda
3377,3944,4243,0368979aa6712d7761ec
3378,3135,3475,Corsica2A
3379,3882,4017,Cyphreme
3380,3957,4395,02583ed02a82977abd2f
3381,3252,4355,alice.opentimestamps.org
3382,2743,4200,0226632657af64bce365
3383,5093,4985,02a4cbded5edaa2b1745
3384,3854,3780,thor44
3385,3306,4756,fulmo
3386,4075,4869,so7ow
3387,2386,4431,Podfather
3388,3134,3472,Donovan
3389,2939,1749,Metamucil Fiber
3390,4170,5220,0367140525819c82ee13
3391,3551,1628,₿iri₿iri
3392,2648,3283,Brotherhood of node
3393,3985,4515,Bitcoinwolf
3394,3782,3403,JUNIORCHASER-v23.08-modded
3395,2616,3075,ishik🥷
3396,3014,2433,oyvt
3397,3064,2799,6KM
3398,4098,4982,hodlhodlhodl
3399,3376,5674,Node
3400,3166,3657,LoveUnderWill
3401,3092,3185,satoshiskitchen
3402,2104,4571,DarrenONode
3403,3625,2364,Anonymous546
3404,3769,3333,InternationalSpaceStation
3405,4216,5725,primero
3406,2601,2978,tsaligat_node
3407,3831,3627,GARDEN
3408,3176,3711,0283686c41c714c727f7
3409,3467,8561,LukeLightningWalker
3410,3017,2446,ElonsMoneyTransmitter
3411,3328,4877,Channel69
3412,3588,2045,tfn
3413,3905,4086,bitsacco-pilot
3414,3490,9383,PLEBNET.org-DutchLightning
3415,1216,531,024f0e88bf2d693ce69e
3416,3595,2088,GloBee.com
3417,3906,4112,FullDeck
3418,3538,1413,btcpayserver.cz
3419,3220,4132,ANGRYSOUFFLE
3420,3441,7471,YellowRaspi
3421,3542,1483,POWB
3422,3418,6968,03d68d93589ebbf6f8eb
3423,3525,1081,02f838cef5684ff7ebed
3424,3368,5624,Puckmaster3000
3425,3568,1860,calvadev
3426,3121,3323,02882d46f06dfcf3f8af
3427,3594,2081,TheSovereignNode
3428,3537,1392,02188e52b62dd37d6a7a
3429,3621,2314,Play-Asia.com #2
3430,3966,4425,FedCoinBad
3431,4279,6135,Chrochtadlo
3432,4868,3998,023843ad8bbe619e5ab6
3433,4255,5966,Gresham-is-wrong
3434,4046,4766,ln.mycloudware.net [03]
3435,3914,4150,Syndic8r
3436,4052,4788,YELLOWTRINITY
3437,3642,2489,Bitcoin Trickle
3438,3545,1535,Deep Cut
3439,4965,4519,mynodebtc.com [myNode]
3440,3761,3325,03cffd000076c31e0851
3441,3325,4867,BitcoinEkasiJoeSlovo
3442,3563,1805,0215a106e71380f6b273
3443,3640,2474,BJCR_lnbits
3444,3580,1924,TranceBitNode
3445,3438,7387,loco-node
3446,3539,1465,032a54b1e9cd2ff8ec5f
3447,3078,3019,LongBitcoin
3448,2437,9693,markusnode
3449,3384,5872,Trek
3450,2433,8266,erre
3451,3723,3116,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
3452,3596,2097,btcmaiNode
3453,2755,4381,Tanksen_F
3454,2795,4991,StormBreaker
3455,3921,4175,zeus3000
3456,3454,8235,03d5c1fff4f9727815a3
3457,4312,6992,Elwira
3458,3574,1889,bitcoin-twitter
3459,3045,2636,zappa|CLN
3460,3456,8276,BerlinLightning
3461,4118,5033,VIOLENTSOUFFLE
3462,2599,2971,LIGHTMY.WORLD
3463,3089,3154,⚡SKD.GUST⚡🔵
3464,3329,4963,Joseito
3465,3633,2436,TheSandPit
3466,3703,3023,02ed845240c369753c66
3467,3589,2046,SR3
3468,2789,4842,SatosphereJunction
3469,2780,4565,Odin 17.4 10:00
3470,4300,6354,EasyPeasyNode
3471,4263,6004,luce
3472,3405,6118,Tuk-Tuk_Thailand ≡ƒî₧
3473,3226,4164,BraCaBTC
3474,3483,9309,mynodebtc.com [myNodeFD]
3475,2929,1692,node-ber-zeh
3476,3679,2677,archcore
3477,3935,4234,02c2f56c1926a61d0e01
3478,4074,4859,02c0676ce52b3e916b98
3479,2848,7245,New Asgard
3480,3440,7462,snowdot
3481,4140,5114,CryptoAnarchist
3482,3565,1839,IBEX_SB
3483,3103,3255,Waiting4Liq
3484,2794,4977,dshiznit
3485,3250,4344,03c2ec9e29e4b34c38c5
3486,3364,5600,BitBru
3487,3124,3374,Potro13
3488,4286,6166,02c5c44be0f023b57115
3489,4211,5705,020dd8fc221b1075c628
3490,3253,4360,02ef2be0a78d6760f366
3491,4139,5113,USDtrendingtoZEROvsBTC
3492,3590,2047,RestaurantZumGggel
3493,4258,5989,DarkLordLightning
3494,4178,5554,hrfdemo
3495,2865,8717,cachupa
3496,3236,4190,YOURWIFI
3497,3689,2804,CajunConduit
3498,3616,2275,03c63f25b2b991f0e825
3499,3196,3973,GoldenHammer
3500,3122,3324,0322fa57fd7cd337cf8b
3501,3371,5629,visionpixel
3502,2962,2044,0352884cc6111e50adec
3503,3453,8234,RFnode
3504,2776,4522,JapanLightning
3505,3016,2444,bbb6012
3506,3145,3533,node.bentonita⚡️🍊
3507,4351,7265,jiggytom
3508,2362,3818,porkyblast
3509,2975,2157,drg
3510,3193,3827,FLYCDR
3511,3436,7372,btccrunch
3512,4094,4953,btron-02be
3513,3699,2987,Nexscale AI Node 1
3514,3559,1760,Hadaikum
3515,2639,3222,Bits of Cheese
3516,3159,3621,Freakshow
3517,4266,6049,Acadian
3518,4274,6116,033e7a91d676d0e376c4
3519,2667,3436,NCC-638
3520,2912,1420,LOUDARTIST
3521,2833,6144,eFLOW
3522,4583,2175,👻
3523,2964,2071,OM1ASD
3524,2407,5061,ANGRYSEAGULL
3525,3860,3816,start9-0x11695c7c02fcd9c2
3526,3286,4535,02e3a1b195b01b6b3f58
3527,2603,2991,Bitplanner
3528,2875,9924,034200a81979cf9468ee
3529,3658,2577,029fd76c
3530,3125,3389,tara
3531,3484,9342,stacksats
3532,3315,4808,03d92b15fe182940c677
3533,3986,4516,SOVERGIN TAKASHMA
3534,3619,2278,LightningCo.in
3535,4199,5655,025d121130ade122d8d5
3536,2831,6108,Orange_Naglfar
3537,3614,2273,oneday
3538,3553,1702,btc_lightning_node
3539,3217,4116,Instant
3540,3326,4868,th2nz
3541,3057,2792,Singularity
3542,4833,3751,0301c096a85bac1c5182
3543,3898,4079,Xcel
3544,4099,4983,Ana the machine
3545,3274,4445,03ace946184d78bdf81d
3546,2877,10110,CryptoAgora
3547,3656,2571,capitol
3548,2337,3474,0c0o
3549,3277,4469,032e0471c308bd6cd10e
3550,4064,4834,03a6baa3e87186d9b6a6
3551,3399,6015,philosoraptor
3552,3959,4407,cln
3553,3888,4051,02b31227cee859218458
3554,4153,5192,032e2996a58179293e8a
3555,3833,3653,Ruthless
3556,3983,4513,035e6bf23599057cee9a
3557,4270,6097,026c92994f72e3501249
3558,5123,5073,bitcoinserver.nl
3559,4208,5682,satoshitools
3560,3299,4597,0204f94415e6ff18a425
3561,3583,1978,opaque-umbra
3562,3256,4374,03841af6a0981c2785ef
3563,3573,1888,Taxfree
3564,3720,3097,Bitgild.com
3565,3606,2199,hury
3566,3654,2558,021af3cc6841663dd58a
3567,3263,4411,03b83404feb66eca08b2
3568,4079,4880,03d85140cae7c2983d98
3569,3643,2520,aaRGh21M
3570,4768,3505,Montanha Bitcoin
3571,4129,5068,0297c605d1055b7e3123
3572,4166,5216,LightChainS 01 BR
3573,3772,3372,Deutsche Pub AG
3574,2409,5110,027b51a02ea605b0aa4e
3575,3492,9704,erewhon
3576,3528,1131,satty
3577,2862,8559,Germane
3578,3973,4476,Dunnakeil
3579,2861,8557,captainchaos
3580,4112,5012,30Bang
3581,3303,4616,SimpleStacker
3582,3556,1711,ZozosMG
3583,3618,2277,Proxima
3584,2997,2331,ePay
3585,3230,4172,SEABASS
3586,3832,3634,HariSeldon
3587,4193,5643,037667a61f11bdfd28a0
3588,3585,1995,🇲🇪 CrnaGoraOne 🇲🇪
3589,3649,2526,SprucePineFir
3590,4289,6239,WMC Nodl2 [LND]
3591,3814,3548,03f631ec22af1d24f170
3592,3271,4442,SigeviBlitz
3593,2717,3999,mioNodo
3594,4202,5676,031575ced657b4c59da2
3595,4066,4845,Jyrisee
3596,3927,4197,03da650468cf2b7aa2bf
3597,3688,2803,FollowTheWhiteRabbit
3598,3620,2279,soufisticated
3599,4010,4595,Ranathan
3600,3834,3654,Fast Dolphin
3601,3674,2654,Ajax
3602,3154,3602,beefyfish
3603,2798,5062,Wed
3604,3040,2603,02324e581b77e1018e74
3605,3345,5085,Gotzilla Citadel 🌞
3606,3669,2615,SpriteElective
3607,3752,3252,K2000
3608,2529,2179,pivo-klub.cz
3609,3554,1709,BDRPPLIR
3610,3475,8965,Stacks
3611,4187,5597,ODDNIGHT-v23.08
3612,3839,3693,esim4crypto
3613,3304,4743,quantum_kat
3614,4037,4641,PatrickV
3615,3955,4369,squirrels just wanna have fun
3616,3469,8591,husky
3617,4027,4631,ELEMNO
3618,4061,4817,XeqT Monetary Freedom
3619,5441,5996,02af869d13b4aa3132af
3620,3682,2724,Digital Gold
3621,2696,3688,Scribdo's Router ₿⚡
3622,2710,3819,hyperion
3623,3386,5879,02e9569263672ad7a7e2
3624,5453,6018,032fe17b6af86f33516f
3625,3827,3600,GNodeMaster
3626,3584,1993,BagpipeTribe.rocks
3627,3661,2590,03bb086b83afa45795c2
3628,3729,3133,02c39ce01d90a1219e06
3629,4325,7079,STRANGEPENGUIN
3630,3424,7078,LIGHTNING
3631,3164,3651,029ce281aff306ad0cbf
3632,3228,4167,039d9379e6f45e9361b3
3633,3737,3160,MEGACNB
3634,3849,3753,nineoneone
3635,4299,6353,test-node1
3636,4230,5759,GreninjaOAK
3637,3478,9030,LightTheSky
3638,3791,3426,geyserproject
3639,3965,4424,bademantel
3640,3592,2058,LOUDTRINITY
3641,3750,3242,brewsbitcoin1
